,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
189,2012-11-25,Phoenix,Philadelphia,20.0,21.0,34.0,26.0,101.0,160.0,23.0,23.0,34.0,24.0,104.0,-180.0,4.0,Home,194.5,25,11,2012.0
190,2012-11-25,Boston,Orlando,28.0,30.0,22.0,22.0,116.0,-200.0,22.0,26.0,34.0,20.0,110.0,170.0,5.5,Away,189.0,25,11,2012.0
191,2012-11-25,NewOrleans,Denver,23.0,18.0,20.0,23.0,84.0,475.0,26.0,25.0,32.0,19.0,102.0,-650.0,10.0,Home,194.0,25,11,2012.0
192,2012-11-26,SanAntonio,Washington,29.0,31.0,32.0,26.0,118.0,-300.0,25.0,23.0,22.0,22.0,92.0,250.0,7.0,Away,195.5,26,11,2012.0
193,2012-11-26,Portland,Detroit,19.0,30.0,24.0,28.0,101.0,-120.0,28.0,26.0,28.0,26.0,108.0,100.0,1.0,Away,192.5,26,11,2012.0
194,2012-11-26,Milwaukee,Chicago,19.0,21.0,23.0,30.0,93.0,150.0,26.0,24.0,30.0,12.0,92.0,-170.0,4.0,Home,192.0,26,11,2012.0
195,2012-11-26,Cleveland,Memphis,27.0,20.0,22.0,9.0,78.0,700.0,24.0,18.0,20.0,22.0,84.0,-1000.0,12.0,Home,193.0,26,11,2012.0
196,2012-11-26,Charlotte,OklahomaCity,12.0,12.0,19.0,26.0,69.0,700.0,28.0,36.0,24.0,26.0,114.0,-1000.0,11.5,Home,201.0,26,11,2012.0
197,2012-11-26,Denver,Utah,35.0,30.0,19.0,19.0,103.0,140.0,24.0,30.0,30.0,21.0,105.0,-160.0,3.0,Home,197.5,26,11,2012.0
198,2012-11-26,NewOrleans,LAClippers,22.0,29.0,30.0,24.0,105.0,800.0,19.0,25.0,26.0,28.0,98.0,-1200.0,13.0,Home,188.5,26,11,2012.0
199,2012-11-26,NewYork,Brooklyn,23.0,24.0,20.0,17.0,89.0,-115.0,26.0,19.0,23.0,16.0,96.0,-105.0,1.0,Away,193.0,26,11,2012.0
